number,name,card_type,rarity,element_type,ability,race,anima_class,cost,card_class,casting_rng,plot_spd,hp,atk,def,spd,movement,size,action,slot,marker
1,Flying Nuisance,Unit,C,Fire,Flight (This anima can pass over non-traversable spaces as long as it's destination is traversable. While this anima isn't attacking% it is 1 space above the ground.),Imp,,1,Bookmark 2,3,1,2,2:4,1:4,4,3,1,2,0,A-1
2,Hot-Stone Hogling,Unit,C,Earth,Add 1 to Hot-Stone Hogling's base attack if it is near a lava or stone tile. (To be near a board piece is to be on or adjacent to it.),Goblin,Warrior,2,Recursive,3,1,3,3:4,2:4,3,3,1,2,1,A-2
3,Basalt-Blood Nil,Unit,C,Fire/Earth,If Basalt-Blood Nil would die% you may remove a nearby lava tile from the board instead. If you do% Basalt-Blood Nhil's HP becomes 1 (To be near a board piece is to be on or adjacent to it.),Undead,,4,Recursive,3,1,3,4:4,3:4,2,3,1,2,2,A-3
4,Immolation Pest,Unit,U,Fire,"Flight (This anima can pass over non-traversable spaces as long as it's destination is traversable. Units without flight cannot initiate combat with this anima)
When Immolation Pest dies% it deals 1 direct fire damage to target enemy anima in an adjacent space.",Imp,,2,One-Time,3,1,2,3:4,3:4,5,3,1,2,0,A-4
5,Hu-Dyi Firewalker,Unit,U,Fire,"Dash (this anima may move twice each turn.)
Place a lava tile on each space Hu-Dyi Firewalker lands on (Board pieces land on spaces where its movement stops.)",Manifest,Warrior,3,Bookmark 3,3,1,3,3:6,2:6,4,2,1,2,1,A-5
6,Erzog Stone-Caster,Unit,U,Earth,{A}{A}: Erzog Stone-Caster deals 6 defendable damage to target enemy anima within four spaces. If damage is dealt this way% that animas space becomes a stone tile.,Human,Shaman,5,Recursive,4,1,4,4:4,3:4,3,3,1,2,1,A-6
7,Hu-Dyi Igniter,Unit,R,Fire,{A}{A}: Hu-Dyi Igniter deals 1 direct fire damage to target enemy anima within four spaces. Than animas space becomes a lava tile.,Manifest,Shaman,7,Recursive,3,1,3,3:4,3:4,3,4,1,2,3,A-7
8,Amitos Shambler,Unit,R,Earth,When Amitos Shambler dies% create two copies of it with half the HP%  half base atk and def% and this ability. (Copies of a board piece count as associated board assets.) (If a copy would join the board with less than 1 HP% it is vanquished instead.),Undead,Warrior,8,Recursive,4,2,3,4:4,4:4,2,3,1,2,2,A-8
9,Flameborn Executor,Unit,M,Fire,"Overwhelm (Whenever this anima deals excess damage to an enemy anima% you may assign the excess damage to an anima adjacent to it as attack damage.)
When you roll the lowest number of this animas def modifier% vanquish it% it deals 1 direct fire damage to each anima in nearby spaces. Each nearby space becomes a lava tile for the next two turns.",Manifest,Warrior,8,One-time,3,1,3,4:6,3:6,5,4,1,2,3,A-9
10,Kulth% the Immolator,Unit,M,Fire,"Flight (This anima can pass over non-traversable spaces as long as it's destination is traversable. Units without flight cannot initiate combat with this anima)
While% Kulth is moving you may spend its action and create a line of four lava tiles in any direction along its movement path. Remove these tiles after two turns. ",Dragon,,9,One-time,3,2,5,5:8,1:12,3,3,2,2,0,A-10
11,Lahar Titan,Unit,M,Fire/Earth,"Slash 2 (When this anima attacks% you may have it deal its attack damage to up to 2 adjacent units. Only one enemy anima may counterstrike.)
As long as Lahar Titan is on a lava tile% you may spend its action and move it to any lava tile within five spaces. (This effect counts as a movement.)",Undead Titan,,10,Recursive,4,2,3,4:10,2:10,1,3,2,2,1,A-11
12,Swiftfin Initiate,Unit,C,Water,Swim (This anima may spend an action to traverse any number. If you do% only anima with swim can count strike it.),Marrow,Soldier,2,Bookmark 3,3,1,3,3:4,2:4,3,3,1,2,2,A-12
13,Clearwood Archer,Unit,C,Nature,Range 3 (This anima can attack board pieces up to 3 spaces away.),Elf,Archer,2,Recursive,3,1,2,3:4,1:4,4,3,1,2,1,A-13
14,Ungari Wave-Waker,Unit,C,Water/Nature,"Sneak (At the end of your plot phase% this anima may spend an action to move it as an evasive movement. If you do% it's speed becomes 6 until turns end and it may traverse% but not land on% occupied spaces.)
Each space Ungari Wave-Waker lands on becomes a water tile. (Landing is where a board piece movement stops.)",Manifest ,,5,Recursive,3,1,3,4:4,3:4,4,3,1,2,1,A-14
15,Porttolva Mystic,Unit,U,Water,"Swim (This anima may spend an action to traverse any number. If you do% only anima with swim can count strike it.)
Water strike (Whenever this anima would deal damage to a fire anima% it deals that much damage plus an additional 1 damage instead.)
{A}{A}: Create a line of three water tiles in an adjacent space. ",Marrow,Shaman,6,Bookmark 2,3,1,3,3:4,3:4,3,3,1,2,2,A-15
16,Brood Charmer,Unit,U,Nature,"Imbue {N}{N} (Discard this card% add {N}{N} to your wellspring. Use this ability only during your plot phases. You may imbue only once per turn.)
{A}{4}: Create a size 1 Serpent unit with% 2 HP% 2:4 atk% 2:4 def% 4 spd% 3 move% and 2 actions% near Brood Charmer.",Naga,Shaman,3,One-time ,2,1,2,2:4,2:4,4,3,1,2,1,A-16
17,Bog Mare,Unit,R,Water,"Swim (This anima may spend an action to traverse any number. If you do% only anima with swim can count strike it.)
When Bog Mare dies you may place a water tile on four nearby spaces.",Amphil,,6,Bookmark 2,3,3,3,3:6,2:6,2,3,1,2,3,A-17
